Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
37,1.233,1216.29,873.48,1.0,1237.89,854.94,1.0,1198.66,854.78,0.99,1269.07,857.27,0.96,1177.58,858.38,0.83,1307.75,949.81,1.0,1153.2,955.57,1.0,1362.23,1074.82,1.0,1113.16,1087.87,0.99,1407.3,1183.93,0.99,1054.32,1185.93,0.99,1288.74,1154.94,1.0,1186.76,1155.19,1.0,1396.25,1214.17,1.0,1067.47,1197.73,1.0,1246.55,1241.76,0.98,1265.88,1252.7,0.98
38,1.267,1216.84,872.17,0.99,1238.43,853.41,1.0,1199.0,853.34,0.99,1269.64,856.4,0.96,1177.95,857.72,0.83,1308.49,949.14,1.0,1152.85,955.56,1.0,1362.23,1075.36,1.0,1113.48,1086.97,0.99,1407.31,1183.96,0.99,1053.98,1185.91,0.99,1287.89,1153.3,1.0,1186.21,1153.99,1.0,1392.66,1210.98,1.0,1069.25,1198.59,1.0,1232.31,1245.33,0.98,1268.39,1253.92,0.98
39,1.3,1217.01,872.82,1.0,1238.56,853.82,1.0,1198.98,854.04,0.99,1269.98,856.24,0.96,1177.82,858.2,0.83,1308.18,949.48,1.0,1153.13,955.89,1.0,1362.18,1075.22,1.0,1112.91,1087.44,0.99,1407.8,1184.94,0.99,1054.03,1186.29,0.99,1287.48,1154.37,1.0,1185.95,1155.03,1.0,1392.79,1212.32,1.0,1069.49,1198.1,1.0,1237.5,1243.96,0.98,1270.73,1253.51,0.98
40,1.333,1217.47,872.58,0.99,1238.84,853.75,1.0,1199.51,854.01,0.99,1269.44,856.43,0.96,1178.04,858.37,0.85,1308.0,950.01,1.0,1152.73,955.94,1.0,1362.73,1077.32,1.0,1113.35,1086.53,0.99,1408.26,1186.29,0.99,1054.8,1184.91,0.99,1287.01,1156.35,1.0,1185.03,1156.97,1.0,1390.51,1209.07,1.0,1064.96,1197.7,1.0,1238.22,1246.27,0.98,1266.28,1254.47,0.98
41,1.367,1217.53,872.27,0.99,1239.17,853.58,1.0,1199.51,853.59,0.99,1270.29,856.13,0.96,1178.17,857.62,0.84,1307.91,949.72,1.0,1152.97,955.32,1.0,1362.5,1076.43,1.0,1113.52,1088.01,0.99,1408.01,1184.61,0.99,1054.13,1186.81,0.99,1287.81,1153.87,1.0,1186.47,1154.1,1.0,1395.09,1212.68,1.0,1068.59,1196.33,1.0,1232.66,1243.56,0.98,1269.31,1254.9,0.98
42,1.4,1217.6,871.69,0.99,1238.6,853.03,1.0,1199.66,853.54,0.99,1268.84,855.52,0.96,1178.5,858.15,0.85,1308.28,949.74,1.0,1153.01,955.61,1.0,1362.01,1076.34,1.0,1113.25,1087.17,0.99,1407.34,1185.05,0.99,1055.06,1186.52,0.99,1288.55,1154.97,1.0,1186.24,1155.48,1.0,1391.15,1213.59,0.99,1070.16,1197.94,0.99,1249.85,1242.46,0.98,1264.4,1252.78,0.98
43,1.433,1217.23,872.84,0.99,1238.57,854.01,1.0,1199.21,854.17,0.99,1269.01,856.18,0.96,1178.05,858.11,0.84,1308.18,950.04,1.0,1153.07,955.16,1.0,1361.23,1075.35,1.0,1113.76,1087.42,0.99,1407.02,1183.2,0.99,1054.18,1186.17,0.99,1287.61,1155.26,1.0,1185.71,1154.9,1.0,1389.57,1218.59,0.99,1068.21,1198.86,0.99,1239.06,1240.31,0.98,1262.0,1253.12,0.98
44,1.467,1217.57,871.67,0.99,1238.94,853.12,1.0,1199.77,853.03,0.99,1269.07,856.06,0.96,1178.25,857.35,0.86,1308.05,949.17,1.0,1152.23,955.95,1.0,1361.18,1075.1,1.0,1113.05,1087.78,0.99,1406.93,1183.61,0.99,1053.72,1185.62,0.99,1287.94,1153.68,1.0,1186.16,1154.59,1.0,1388.02,1207.53,1.0,1066.94,1196.31,1.0,1232.48,1247.05,0.99,1267.02,1255.45,0.99
45,1.5,1217.23,871.68,0.99,1238.56,853.14,1.0,1199.54,853.08,0.99,1268.61,856.32,0.96,1178.06,857.56,0.86,1308.07,949.18,1.0,1151.55,955.87,1.0,1362.1,1076.29,1.0,1113.51,1086.28,0.99,1407.23,1185.75,0.99,1054.65,1185.71,0.99,1286.81,1154.57,1.0,1184.84,1155.67,1.0,1387.99,1206.17,1.0,1066.08,1198.44,1.0,1227.05,1250.83,0.99,1268.25,1257.4,0.99
46,1.533,1218.02,871.7,0.99,1239.08,853.28,1.0,1200.04,853.52,0.99,1268.9,856.16,0.96,1178.52,858.26,0.86,1308.69,949.43,1.0,1152.27,955.82,1.0,1361.42,1075.05,1.0,1113.31,1086.44,0.99,1406.81,1184.25,0.99,1054.57,1185.62,0.99,1287.84,1154.53,1.0,1185.58,1155.17,1.0,1395.39,1211.85,1.0,1068.32,1198.12,1.0,1231.69,1246.13,0.98,1268.9,1255.07,0.98
47,1.567,1217.59,872.02,0.99,1238.84,853.42,1.0,1199.74,853.59,0.99,1269.11,856.34,0.96,1178.44,858.17,0.85,1308.48,949.9,1.0,1152.16,955.37,1.0,1361.56,1075.57,1.0,1114.14,1085.29,0.99,1406.64,1183.79,0.99,1055.35,1184.04,0.99,1288.3,1155.25,1.0,1185.7,1155.45,1.0,1388.11,1214.83,0.99,1066.66,1199.62,1.0,1237.09,1245.65,0.98,1265.33,1255.09,0.98
48,1.6,1218.15,871.71,0.99,1239.41,852.86,1.0,1199.81,853.19,0.99,1269.29,855.6,0.96,1177.91,857.94,0.87,1308.32,948.65,1.0,1152.32,955.78,1.0,1360.97,1073.7,1.0,1114.49,1085.94,0.99,1407.03,1185.29,0.99,1055.18,1185.19,0.99,1288.28,1153.81,1.0,1186.19,1154.61,1.0,1392.69,1211.19,1.0,1064.78,1197.27,1.0,1227.92,1247.68,0.98,1262.24,1257.39,0.98
49,1.633,1218.07,871.27,0.99,1239.52,852.73,1.0,1199.78,852.76,0.99,1269.34,855.77,0.96,1177.86,857.47,0.87,1308.0,949.39,1.0,1152.18,955.69,1.0,1362.02,1074.92,0.99,1113.98,1088.26,0.99,1406.46,1184.53,0.99,1054.58,1185.91,0.99,1289.17,1155.73,1.0,1186.73,1156.08,1.0,1399.7,1215.98,0.99,1066.19,1198.29,0.99,1235.11,1242.82,0.98,1265.16,1253.78,0.98
