Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
39,1.3,1428.59,1077.57,0.99,1449.38,1059.43,0.99,1411.96,1058.6,0.99,1477.43,1067.41,0.91,1388.49,1065.7,0.82,1512.07,1161.87,1.0,1353.37,1169.31,1.0,1555.16,1297.46,0.99,1312.03,1312.05,0.98,1610.28,1398.11,0.99,1278.91,1421.26,0.97,1484.83,1393.2,1.0,1373.24,1396.49,1.0,1625.59,1462.39,0.99,1284.35,1473.23,0.99,1437.6,1509.21,0.96,1431.46,1487.24,0.95
40,1.333,1428.65,1077.86,0.99,1449.65,1059.66,0.99,1412.11,1058.57,0.99,1477.61,1067.4,0.91,1388.47,1065.02,0.82,1511.82,1161.54,1.0,1352.89,1168.89,1.0,1554.37,1296.5,0.99,1312.17,1311.05,0.98,1609.73,1397.56,0.99,1278.68,1421.1,0.98,1485.51,1391.32,1.0,1373.73,1394.73,1.0,1623.65,1462.94,0.99,1288.1,1475.17,0.99,1440.23,1508.69,0.96,1427.83,1484.89,0.95
41,1.367,1428.98,1078.27,0.99,1449.8,1059.94,0.99,1412.31,1059.0,0.99,1477.47,1067.32,0.91,1388.42,1065.34,0.82,1512.03,1161.74,1.0,1353.54,1169.2,1.0,1554.78,1297.49,0.99,1312.12,1312.25,0.98,1610.19,1398.26,0.99,1278.28,1422.36,0.97,1485.38,1391.97,1.0,1373.96,1395.16,1.0,1624.72,1463.47,0.99,1288.29,1474.5,0.99,1439.83,1508.83,0.95,1428.2,1483.66,0.95
42,1.4,1429.28,1077.3,0.99,1450.05,1059.03,0.99,1412.6,1058.12,0.99,1477.6,1066.64,0.91,1388.59,1064.66,0.83,1512.05,1161.04,1.0,1353.31,1168.79,1.0,1554.96,1296.37,0.99,1311.55,1311.78,0.98,1609.92,1398.29,0.99,1278.36,1422.66,0.98,1485.37,1392.12,1.0,1373.66,1395.49,1.0,1624.88,1463.53,0.99,1289.24,1475.09,0.99,1440.4,1509.42,0.95,1423.69,1483.3,0.94
43,1.433,1429.07,1076.65,0.99,1449.7,1058.75,0.99,1412.73,1057.76,0.99,1476.98,1066.76,0.91,1388.99,1064.61,0.83,1511.64,1161.1,1.0,1353.47,1168.73,1.0,1555.35,1297.48,0.99,1312.04,1311.66,0.98,1610.63,1397.92,0.99,1278.87,1421.13,0.97,1484.99,1392.81,1.0,1373.63,1396.16,1.0,1624.16,1462.49,0.99,1284.53,1475.5,0.99,1439.16,1510.37,0.95,1431.49,1482.96,0.95
44,1.467,1428.96,1077.03,0.99,1449.8,1058.84,0.99,1412.51,1057.94,0.99,1477.66,1066.72,0.92,1389.04,1064.75,0.82,1512.54,1161.34,1.0,1353.54,1168.88,1.0,1555.61,1295.97,0.99,1311.69,1311.21,0.98,1610.51,1397.97,0.99,1278.29,1422.34,0.98,1485.66,1392.16,1.0,1373.65,1395.24,1.0,1623.43,1464.66,0.99,1286.5,1475.4,0.99,1440.16,1509.48,0.95,1423.31,1481.83,0.94
45,1.5,1428.84,1076.62,0.99,1449.56,1058.61,0.99,1412.44,1057.64,0.99,1477.26,1066.54,0.91,1388.89,1064.5,0.82,1512.05,1161.21,1.0,1353.19,1168.87,1.0,1555.75,1296.76,0.99,1311.36,1312.07,0.98,1610.86,1398.78,0.99,1277.92,1423.0,0.98,1485.54,1392.76,1.0,1374.04,1396.08,1.0,1624.19,1462.64,0.99,1287.14,1473.75,0.99,1439.55,1509.47,0.95,1433.3,1484.14,0.95
46,1.533,1428.64,1076.72,0.99,1449.59,1058.5,0.99,1412.17,1057.53,0.99,1477.65,1066.22,0.92,1388.7,1064.14,0.81,1512.72,1161.47,1.0,1353.36,1168.85,1.0,1555.94,1296.72,0.99,1311.77,1311.43,0.98,1610.61,1398.6,0.99,1277.74,1422.59,0.98,1486.6,1392.44,1.0,1374.57,1395.49,1.0,1623.67,1464.88,0.99,1286.22,1475.28,0.99,1440.23,1509.44,0.95,1426.94,1483.54,0.94
47,1.567,1428.81,1077.38,0.99,1449.75,1059.01,0.99,1412.31,1058.21,0.99,1478.12,1066.31,0.92,1388.94,1064.6,0.8,1512.74,1161.47,1.0,1353.39,1168.9,1.0,1556.3,1297.32,0.99,1311.44,1311.9,0.98,1610.89,1399.14,0.99,1277.95,1422.59,0.98,1486.46,1392.67,1.0,1374.12,1395.88,1.0,1626.24,1464.18,0.99,1286.72,1474.52,0.99,1442.11,1509.69,0.95,1421.89,1484.67,0.95
48,1.6,1428.2,1078.24,0.99,1449.14,1060.04,0.99,1411.88,1059.16,0.99,1477.61,1067.28,0.92,1388.92,1065.4,0.79,1511.79,1161.32,1.0,1354.02,1168.89,1.0,1555.27,1297.07,0.99,1312.13,1311.59,0.98,1610.11,1398.41,0.99,1279.26,1421.73,0.98,1484.92,1393.26,1.0,1374.34,1396.65,1.0,1624.23,1461.74,0.99,1287.43,1473.63,0.99,1437.28,1509.44,0.96,1436.48,1484.9,0.95
